X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen
491853.239580069,6661277.17954842,225404,VELOSTATION,ENKELZIJDIG,PLEIN,Sint-Jansplein (2060),17,to 17,ANTWERPEN,2060,VE_0000117,IN_GEBRUIK,30
491096.370534969,6661749.13766467,225405,VELOSTATION,DUBBELZIJDIG,VOETPAD,Entrepotkaai (2000),15,verplaatst van italielei nr Entrepotkaai,ANTWERPEN,2000,VE_0000052,IN_GEBRUIK,36
489900.539125639,6661341.81611264,225406,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Sint-Pietersvliet (2000),,thv tolhuis,ANTWERPEN,2000,VE_0000049,IN_GEBRUIK,27
490877.399943704,6661403.81960472,225407,VELOSTATION,ENKELZIJDIG,VOETPAD,Hessenplein (2000),2,,ANTWERPEN,2000,VE_0000033,IN_GEBRUIK,21
490051.689015268,6661715.08853981,225408,VELOSTATION,DUBBELZIJDIG,VOETPAD,Sint-Aldegondiskaai (2000),2,thv Bonapartedok,ANTWERPEN,2000,VE_0000135,IN_GEBRUIK,36
490418.463651587,6661524.59707623,225409,VELOSTATION,DUBBELZIJDIG,VOETPAD,Oudeleeuwenrui (2000),2,,ANTWERPEN,2000,VE_0000045,IN_GEBRUIK,36
490442.4666976,6661746.39831659,225410,VELOSTATION,DUBBELZIJDIG,PLEIN,Godefriduskaai (2000),,thv oostendekaai,ANTWERPEN,2000,VE_0000134,IN_GEBRUIK,36
492558.692111387,6661919.56786797,225411,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Viséstraat (2060),14,,ANTWERPEN,2060,VE_0000123,IN_GEBRUIK,18
491072.196777356,6661987.07310018,225412,VELOSTATION,ENKELZIJDIG,VOETPAD,Entrepotplaats (2000),1,,ANTWERPEN,2000,VE_0000133,IN_GEBRUIK,24
491967.429569178,6662065.96080116,225413,VELOSTATION,ENKELZIJDIG,GROENZONE,Ellermanstraat (2060),74,to 74,ANTWERPEN,2060,VE_0000124,IN_GEBRUIK,30
494671.552754076,6659329.70319619,225414,VELOSTATION,DUBBELZIJDIG,VOETPAD,Turnhoutsebaan (2140),366,thv stenenbrug                 ,BORGERHOUT,2140,VE_0000068,IN_GEBRUIK,30
492810.75217111,6662395.99451795,225415,VELOSTATION,DUBBELZIJDIG,VOETPAD,Lange Lobroekstraat (2060),220,to,ANTWERPEN,2060,VE_0000062,IN_GEBRUIK,24
493331.56629587,6662067.35778338,225416,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Lobroekstraat (2060),93,to,ANTWERPEN,2060,VE_0000063,IN_GEBRUIK,36
493440.928831664,6660320.23739798,225417,VELOSTATION,ENKELZIJDIG,VOETPAD,Pastorijstraat (2060),28,to,ANTWERPEN,2060,VE_0000038,IN_GEBRUIK,21
490210.924603181,6658936.64067636,225418,VELOSTATION,DUBBELZIJDIG,VOETPAD,Maarschalk Gérardstraat (2000),25a,,ANTWERPEN,2000,VE_0000073,IN_GEBRUIK,36
490059.567867945,6655644.13941874,225419,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jan Van Rijswijcklaan (2018),,thv de Singel,ANTWERPEN,2018,VE_0000013,IN_GEBRUIK,36
492028.980283603,6659828.22186591,225420,VELOSTATION,ENKELZIJDIG,VOETPAD,De Keyserlei (2018),61,,ANTWERPEN,2018,VE_0000048,IN_GEBRUIK,33
492153.707823497,6662389.63419356,225421,VELOSTATION,ENKELZIJDIG,VOETGANGERSZONE,Hardenvoort (2060),,,ANTWERPEN,2060,VE_0000136,IN_GEBRUIK,33
494693.542697142,6660129.38356599,225422,VELOSTATION,ENKELZIJDIG,VOETPAD,Terloplein (2140),64,to 64 pleintje,BORGERHOUT,2140,VE_0000154,IN_GEBRUIK,33
494886.993018124,6659625.03938843,225423,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Statielei (2140),27,to 27 naast spoorwegbrug,BORGERHOUT,2140,VE_0000155,IN_GEBRUIK,30
492200.317944493,6655427.40449299,225424,VELOSTATION,DUBBELZIJDIG,MIDDENBERM,Binnensingel (2600),,aan binnensingel,BERCHEM,2600,VE_0000157,IN_GEBRUIK,36
489622.591313198,6657092.29205256,225425,VELOSTATION,DUBBELZIJDIG,PLEIN,Zuidervelodroom (2018),55,,ANTWERPEN,2018,VE_0000158,IN_GEBRUIK,36
489730.210442246,6657732.03986467,225426,VELOSTATION,DUBBELZIJDIG,VOETPAD,Boudewijnssteeg (2018),1, fase 3,ANTWERPEN,2018,VE_0000159,IN_GEBRUIK,30
488570.560059777,6657341.69339271,225427,VELOSTATION,DUBBELZIJDIG,GROENZONE,Brusselstraat (2018),5,to 5,ANTWERPEN,2018,VE_0000160,IN_GEBRUIK,36
491920.50852419,6667904.37683738,225428,VELOSTATION,DUBBELZIJDIG,VOETPAD,Havanastraat (2030),1,,ANTWERPEN,2030,VE_0000201,IN_GEBRUIK,36
492388.510999602,6666270.46037512,225429,VELOSTATION,DUBBELZIJDIG,GROENZONE,Columbiastraat (2030),,thv Venezuelastraat,ANTWERPEN,2030,VE_0000203,IN_GEBRUIK,36
492130.805226579,6665633.97812072,225430,VELOSTATION,DUBBELZIJDIG,PLEIN,Noorderlaan (2030),104B-104C,,ANTWERPEN,2030,VE_0000204,IN_GEBRUIK,36
491414.043342813,6664716.91671789,225431,VELOSTATION,DUBBELZIJDIG,GROENZONE,Groenendaallaan (2030),397A,,ANTWERPEN,2030,VE_0000205,IN_GEBRUIK,36
492382.089845763,6664637.94910695,225432,VELOSTATION,ENKELZIJDIG,PLEIN,Bermstraat (2030),,hoek Groenendaallaan,ANTWERPEN,2030,VE_0000206,IN_GEBRUIK,36
496892.88944185,6666272.29732813,225433,VELOSTATION,DUBBELZIJDIG,GROENZONE,Van Praetlei (2170),252,to 252,MERKSEM,2170,VE_0000207,IN_GEBRUIK,36
495860.491700738,6666443.06469718,225434,VELOSTATION,ENKELZIJDIG,VOETPAD,Ringlaan (2170),74,to 74,MERKSEM,2170,VE_0000208,IN_GEBRUIK,36
495053.931728723,6666788.10819778,225435,VELOSTATION,DUBBELZIJDIG,VOETPAD,Korte Bremstraat (2170),2,to Laaglandlaan,MERKSEM,2170,VE_0000209,IN_GEBRUIK,36
493787.927416881,6666574.45828556,225436,VELOSTATION,DUBBELZIJDIG,GROENZONE,Maantjessteenweg (2170),175,,MERKSEM,2170,VE_0000210,IN_GEBRUIK,36
493954.710573315,6665856.02550322,225437,VELOSTATION,DUBBELZIJDIG,GROENZONE,Rodeloopstraat (2170),67,to 67,MERKSEM,2170,VE_0000211,IN_GEBRUIK,36
494507.674729886,6665795.82810092,225438,VELOSTATION,DUBBELZIJDIG,GROENZONE,Rodeloopstraat (2170),1-3,to 1-3,MERKSEM,2170,VE_0000212,IN_GEBRUIK,36
495156.023983805,6665900.17867401,225439,VELOSTATION,ENKELZIJDIG,PLEIN,Kroonplein (2170),28,to 28,MERKSEM,2170,VE_0000213,IN_GEBRUIK,36
493485.083851221,6665275.33225919,225440,VELOSTATION,DUBBELZIJDIG,GROENZONE,Lambrechtshoekenlaan (2170),133-135,,MERKSEM,2170,VE_0000214,IN_GEBRUIK,36
